"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","cluster"
"dme01240","Biosynthesis of cofactors",0.070631970260223,"138/3488",0.000142036296293002,0.00699263375414307,0.00486329791171604,"Pu/v/l(3)02640/Alp4/Alas/Ugt35A1/Ugt37C1/Ugt37B1/CG12116/CG4407/Naprt/CG15629/Coq6/Nfs1/Ugt301D1/Alp12/CG8080/Alp6/Alp7/Alp8/CG3803/GC/Alp9/Pbgs/Pmm2/CG7430/Hpd/CG12170/CG2767/Alp5/Ugt317A1/Ugt303A1/Ugt35E2/Ugt37D1/Ugt37C2/sgl/FeCH/Alp1",38,"III"
"dme00514","Other types of O-glycan biosynthesis",0.0278810408921933,"38/3488",0.00026817499631449,0.00699263375414307,0.00486329791171604,"rt/fng/tgy/CG3119/CG2975/Pgant2/Pgant5/CG8708/GlcAT-P/Pgant8/Pgant9/CG31915/Pgant4/CG34056/tw",15,"III"
"dme00600","Sphingolipid metabolism",0.0241635687732342,"31/3488",0.000341157639154862,0.00699263375414307,0.00486329791171604,"Gal/Sply/wun/Sk1/laza/CG11438/CG11437/CG11426/CDase/Hexo2/bwa/Gba1b/Ect3",13,"III"
"dme04146","Peroxisome",0.050185873605948,"91/3488",0.000362516271277559,0.00699263375414307,0.00486329791171604,"Cat/Idh/ry/ScpX/Pex5/Mfe2/Pex12/CG9527/CG17597/CG17544/CG1441/ADPS/Pex11/CG8306/CG5065/CG10672/Pex7/CG3961/CG17562/CG17560/CG13827/CG12268/wat/CG12355/CG30427/CG33671/Acsl",27,"III"
"dme04512","ECM-receptor interaction",0.0130111524163569,"11/3488",0.000374605379686236,0.00699263375414307,0.00486329791171604,"Col4a1/LanA/vkg/CG3168/Tsp/LanB1/LanB2",7,"III"
"dme00785","Lipoic acid metabolism",0.016728624535316,"18/3488",0.0006085317650216,0.0097365082403456,0.00677163167091705,"ppl/Pdha/CG6415/CG33791/CG7430/CG8199/CG3999/Pdhb/CG1544",9,"III"
"dme04142","Lysosome",0.0594795539033457,"123/3488",0.00137955756950948,0.0180364780509786,0.0125441670655302,"Gal/Tsp42Ee/Tsp42Ed/Tsp42Ea/MFS10/Bace/LManIII/LManV/LManVI/Tsp29Fa/CG5731/CG17134/Vha100-5/CG4847/CG13510/CG11459/Npc2b/CG17283/Vha100-4/Sgsh/CG6656/CG17119/Npc2g/Npc2h/CG13516/Hexo2/CG30269/Gba1b/CG33128/Ect3/CG42565/Npc1b",32,"III"
"dme00520","Amino sugar and nucleotide sugar metabolism",0.0297397769516729,"48/3488",0.0015003500754947,0.0180364780509786,0.0125441670655302,"kkv/Pgm1/Cht2/CG17065/Gale/Cht7/Pmm2/Cht5/CG6218/Gfat2/Gnpnat/Hexo2/mmy/sgl/Cht6/Galk",16,"III"
"dme01212","Fatty acid metabolism",0.0315985130111524,"53/3488",0.00174155846807395,0.0180364780509786,0.0125441670655302,"ScpX/Mfe2/CG9527/Hacd1/CG17597/CG17544/ACC/CG18609/CG9149/CG3961/CG3902/CG12170/CG8630/CG9747/CG9743/FASN2/Acsl",17,"III"
"dme00512","Mucin type O-glycan biosynthesis",0.0185873605947955,"24/3488",0.00177143980857825,0.0180364780509786,0.0125441670655302,"tgy/CG3119/CG2975/Pgant2/Pgant5/CG8708/Pgant8/Pgant9/Pgant4/CG34056",10,"III"
"dme00730","Thiamine metabolism",0.016728624535316,"21/3488",0.0023830889062068,0.0204187900794945,0.0142010382131823,"Alp4/Nfs1/Alp12/Alp6/Alp7/Alp8/Alp9/Alp5/Alp1",9,"III"
"dme00830","Retinol metabolism",0.0223048327137546,"33/3488",0.0025316499266958,0.0204187900794945,0.0142010382131823,"Adh/Ugt35A1/Ugt37C1/Ugt37B1/CG15629/Ugt301D1/CG10672/Ugt317A1/Ugt303A1/Ugt35E2/Ugt37D1/Ugt37C2",12,"III"
"dme01040","Biosynthesis of unsaturated fatty acids",0.0185873605947955,"25/3488",0.00255234875993682,0.0204187900794945,0.0142010382131823,"ScpX/Mfe2/CG9527/Hacd1/CG17597/CG17544/CG18609/CG8630/CG9747/CG9743",10,"III"
"dme00350","Tyrosine metabolism",0.016728624535316,"22/3488",0.00349148364985092,0.0260697445855536,0.0181312133395767,"Adh/amd/Ddc/ple/Faa/Hpd/yellow-f2/hgo/Tdc2",9,"III"
"dme00053","Ascorbate and aldarate metabolism",0.0223048327137546,"35/3488",0.00443599952475948,0.0310519966733164,0.0215963134758027,"Ugt35A1/Ugt37C1/Ugt37B1/Ugt301D1/CG6910/CG2767/Ugt317A1/Ugt303A1/Ugt35E2/Ugt37D1/Ugt37C2/sgl",12,"III"
"dme00230","Purine metabolism",0.0446096654275093,"92/3488",0.00513147820206762,0.0325873359419772,0.0226641246212999,"Pgm1/rut/ry/Ac76E/Gyc32E/Gycalpha99B/Gycbeta100B/Papss/CG6106/veil/CG16758/AdenoK/Adgf-A/Pde6/Gyc88E/Gyc89Db/ACXD/NT5E-2/CG32301/CG32305/CG34357/Pde9/Pde1c/Pde8",24,"III"
"dme00790","Folate biosynthesis",0.0241635687732342,"40/3488",0.00523725041924633,0.0325873359419772,0.0226641246212999,"Hn/Pu/ple/Alp4/CG12116/Alp12/Alp6/Alp7/Alp8/Alp9/GstO3/Alp5/Alp1",13,"III"
"dme00860","Porphyrin metabolism",0.0260223048327138,"45/3488",0.00592187117423358,0.0349078721849559,0.0242780314068302,"l(3)02640/Alas/Ugt35A1/Ugt37C1/Ugt37B1/Ugt301D1/CG3803/Pbgs/Ugt317A1/Ugt303A1/Ugt35E2/Ugt37D1/Ugt37C2/FeCH",14,"III"
"dme00983","Drug metabolism - other enzymes",0.0446096654275093,"94/3488",0.0068570620551943,0.0383995475090881,0.0267064522149673,"ry/CRMP/Ugt35A1/Ugt37C1/Ugt37B1/CG17224/CG8360/CG8353/Ugt301D1/GstE1/GstE11/pyd3/CG6330/Ugt317A1/Ugt303A1/Ugt35E2/Ugt37D1/Ugt37C2/GstD10/GstE6/GstE5/GstE2/GstE10/Nlg4",24,"III"
"dme00561","Glycerolipid metabolism",0.0241635687732342,"42/3488",0.00827151352299275,0.0441147387892947,0.0306813032933064,"wun/Agpat1/CG1941/Agpat4/laza/CG11438/CG11437/CG11426/CG2767/CG31140/Dgk/CG34384/Mulk",13,"III"
"dme00410","beta-Alanine metabolism",0.016728624535316,"25/3488",0.00932210234050568,0.0474579755516653,0.0330064867558575,"b/Gad1/CRMP/CG17896/CG9527/CG17544/CG5618/pyd3/CG5044",9,"III"
"dme01250","Biosynthesis of nucleotide sugars",0.0185873605947955,"30/3488",0.0113728596317201,0.0553808816848977,0.0385167786154364,"Pgm1/Gale/CG6910/Pmm2/CG6218/Gfat2/Gnpnat/mmy/sgl/Galk",10,"III"
"dme00564","Glycerophospholipid metabolism",0.0315985130111524,"63/3488",0.0122178576466095,0.0554130157700649,0.0385391275092557,"Ace/ChAT/wun/Gpo1/CG4757/Agpat1/CG7149/Agpat4/laza/CG11438/CG11437/CG11426/CLS/CG18815/CG31140/Dgk/CG34384",17,"III"
"dme00980","Metabolism of xenobiotics by cytochrome P450",0.033457249070632,"68/3488",0.0123689767343895,0.0554130157700649,0.0385391275092557,"Adh/Ugt35A1/Ugt37C1/Ugt37B1/CG3609/Ugt301D1/GstE1/GstE11/Ugt317A1/Ugt303A1/Ugt35E2/Ugt37D1/Ugt37C2/GstD10/GstE6/GstE5/GstE2/GstE10",18,"III"
"dme00511","Other glycan degradation",0.0148698884758364,"22/3488",0.0131434806802851,0.055985500815835,0.0389372844019905,"Gal/CG5613/LManIII/LManV/LManVI/Hexo2/Gba1b/Ect3",8,"III"
"dme00760","Nicotinate and nicotinamide metabolism",0.0130111524163569,"18/3488",0.0134965046609602,0.055985500815835,0.0389372844019905,"Sirt4/Naprt/CG8080/veil/CG16758/Sirt2/NT5E-2",7,"III"
"dme00040","Pentose and glucuronate interconversions",0.0260223048327138,"50/3488",0.0159070384464155,0.0636281537856621,0.044252663347171,"Ugt35A1/Ugt37C1/Ugt37B1/CG3609/Ugt301D1/Had2/CG2767/CG3534/Ugt317A1/Ugt303A1/Ugt35E2/Ugt37D1/Ugt37C2/sgl",14,"III"
"dme00982","Drug metabolism - cytochrome P450",0.0315985130111524,"66/3488",0.0194179313335668,0.0749933899779131,0.052157056939526,"Adh/Ugt35A1/Ugt37C1/Ugt37B1/Ugt301D1/GstE1/GstE11/Ugt317A1/Ugt303A1/Ugt35E2/Ugt37D1/Ugt37C2/GstD10/GstE6/GstE5/GstE2/GstE10",17,"III"
"dme04145","Phagosome",0.0371747211895911,"82/3488",0.0213402904960785,0.0796704178520266,0.0554098770775373,"alphaTub85E/betaTub97EF/Calr/Sec61beta/Nos/Rac2/RhoL/Rab7/Sec61gamma/Tsp/Vha100-5/VhaM9.7-a/CG11459/Vha100-4/Vha36-3/Sdic2/Sec61alpha/Vha68-2/Vha68-1/Vha13",20,"III"
"dme02010","ABC transporters",0.0204460966542751,"38/3488",0.0243233213429584,0.0878778061423011,0.0611180230688937,"Mdr65/CG3156/CG1824/CG1494/CG4822/CG5853/CG10226/CG4562/CG11069/Mrp4/CG17646",11,"III"
"dme00250","Alanine, aspartate and glutamate metabolism",0.016728624535316,"29/3488",0.0258529989695299,0.0904854963933546,0.0629316422284609,"Gs1/Gad1/Ass/CG7860/Argl/CG9674/P5CDh1/Ssadh/Gfat2",9,"III"
