"Description","GeneRatio","p.adjust","Count","cluster","geneID"
"metamorphosis",0.0938485804416404,6.12732900799798e-10,119,"I","Dll/btd/eya/cv-2/dpp/Dr/emc/en/fj/fkh/ft/hth/inv/Jra/kto/Sos/mam/odd/opa/ovo/pnt/px/shn/skd/sog/Egfr/trc/tsh/ptc/vg/vn/hid/oc/zfh2/hh/otk/C15/bowl/ey/Sox14/Itpr/hep/dap/jar/babo/Ance/shot/mirr/sty/Pi3K59F/Shc/mbc/SMC3/Vang/ast/Past1/fz2/pcm/crol/Tor/RhoGEF2/gbb/brk/stan/p38b/bab2/CG13366/drpr/sds22/raptor/slpr/mthl1/RhoGAP15B/Uvrag/Atg9/CNBP/Ppat-Dpck/RhoGAP68F/Mkp3/Atg17/RhoGAP92B/Usp8/Socs36E/frc/Atg2/wge/Drak/pan/Myo31DF/frtz/step/dgo/Chd1/Nost/Diap1/Vps15/tay/Rbsn-5/Ppcs/salm/Asx/l(2)gd1/d/fzr/S6kII/Rabex-5/bel/Lpin/Lpt/CG43658/Atg6/Bx/PDZ-GEF/Kr-h1/ltl/Duox/wg/ds/cv-c"
"positive regulation of macromolecule biosynthetic process",0.0938485804416404,1.33003166792023e-09,119,"I","abd-A/Abd-B/ac/Dll/btd/Cf2/eya/D/disco/Eip75B/en/fkh/png/grn/hth/Jra/kto/wor/dre4/lin/mam/Met/odd/opa/ovo/pnr/pnt/shn/sna/so/srp/trx/tsh/ttk/ush/vg/oc/sc/CrebA/pros/sim/ci/C15/bowl/ey/hep/Mef2/Rel/gcm/mirr/Hr96/chn/org-1/Tor/Sin3A/Hel89B/cyc/CG3630/waw/Sec13/CycT/scf/Sbf/RNaseZ/Fmr1/SoxN/rictor/CG3862/senju/Ncoa6/CG7239/CG4901/CG4751/dmpd/vis/achi/rswl/CG10543/CNBP/yki/CG4612/Larp4B/Doc2/MED19/mTerf3/srl/MBD-R2/CG5641/MED25/lmd/REPTOR/HGTX/tai/CG18766/Atac3/pan/vvl/grh/dl/larp/Asx/vnd/mid/trh/CG9932/nsl1/Myc/cnc/Mitf/dar1/Tet/nclb/Lpin/Lpt/eIF2gamma/Bx/da/vas/Adf1"
"cell projection morphogenesis",0.0930599369085174,1.32719474947777e-10,118,"I","eya/D/ems/en/E(spl)m8-HLH/E(z)/grn/Sos/robo2/sens/peb/Poxm/ras/Scm/shn/trc/ptc/hid/oc/Nrt/Ptp4E/Ten-m/pros/zfh1/hh/sim/otk/ci/Sox14/robo1/comm/hep/trn/sqz/TrpRS/Sema1a/babo/fra/wts/Hem/shot/Rel/bnl/gcm/mirr/Shc/chn/drl/Nak/Vang/fz2/gcm2/Rfx/Tor/RhoGEF2/WASp/stan/Optix/msps/Rich/Fmr1/seq/nerfin-1/SoxN/ssh/lva/raptor/Nf-YC/CG12717/hiw/HUWE1/rictor/erm/CG14043/beat-IIIc/CdGAPr/Sin1/ckn/unc-5/Toll-7/path/Toll-6/wnd/Dcr-1/Vav/SMC1/boi/Alk/exex/SCAR/Liprin-alpha/sav/Mical/nub/jeb/vvl/psidin/Mob4/crb/wb/Dbx/Dhc64C/mid/Sec23/cnc/dar1/hts/sli/ab/Mtp/Ten-a/Frl/S6k/InR/Sac1/Sema5c/btl/cv-c"
"plasma membrane bounded cell projection morphogenesis",0.0930599369085174,1.32719474947777e-10,118,"I","eya/D/ems/en/E(spl)m8-HLH/E(z)/grn/Sos/robo2/sens/peb/Poxm/ras/Scm/shn/trc/ptc/hid/oc/Nrt/Ptp4E/Ten-m/pros/zfh1/hh/sim/otk/ci/Sox14/robo1/comm/hep/trn/sqz/TrpRS/Sema1a/babo/fra/wts/Hem/shot/Rel/bnl/gcm/mirr/Shc/chn/drl/Nak/Vang/fz2/gcm2/Rfx/Tor/RhoGEF2/WASp/stan/Optix/msps/Rich/Fmr1/seq/nerfin-1/SoxN/ssh/lva/raptor/Nf-YC/CG12717/hiw/HUWE1/rictor/erm/CG14043/beat-IIIc/CdGAPr/Sin1/ckn/unc-5/Toll-7/path/Toll-6/wnd/Dcr-1/Vav/SMC1/boi/Alk/exex/SCAR/Liprin-alpha/sav/Mical/nub/jeb/vvl/psidin/Mob4/crb/wb/Dbx/Dhc64C/mid/Sec23/cnc/dar1/hts/sli/ab/Mtp/Ten-a/Frl/S6k/InR/Sac1/Sema5c/btl/cv-c"
"positive regulation of nucleobase-containing compound metabolic process",0.0922712933753943,1.78741390518426e-07,117,"I","abd-A/Abd-B/ac/Dll/btd/Cf2/eya/D/disco/Eip75B/en/fkh/grn/hth/Jra/kto/wor/dre4/lin/mam/Met/odd/opa/ovo/pnr/pnt/shn/sna/so/srp/trx/tsh/ttk/ush/vg/oc/sc/CrebA/pros/sim/ci/C15/bowl/ey/hep/Mef2/twin/Rel/gcm/mirr/Hr96/chn/org-1/Tor/Sin3A/Hel89B/cyc/CG3630/Sec13/CycT/scf/Sbf/Acf/Cdc7/SoxN/Upf1/rictor/Ncoa6/CG7239/CG4901/CG4751/RtcB/dmpd/vis/achi/CG10543/yki/Doc2/Pop2/DCP2/MED19/srl/MBD-R2/CG5641/MED25/lmd/REPTOR/RecQ4/HGTX/tai/CG18766/Atac3/CG34401/pan/vvl/grh/dl/Rrp40/larp/Asx/vnd/mid/trh/CG9932/Scox/nsl1/Myc/cnc/Mitf/dar1/Tet/nclb/Lpin/Lpt/Bx/da/Adf1"
"cell morphogenesis involved in neuron differentiation",0.0914826498422713,1.80683126589464e-10,116,"I","eya/D/ems/en/E(spl)m8-HLH/E(z)/grn/Sos/robo2/sens/peb/Poxm/ras/Scm/shn/trc/ptc/hid/oc/Nrt/Ptp4E/Ten-m/pros/zfh1/sim/otk/ci/Sox14/robo1/comm/hep/trn/sqz/TrpRS/Sema1a/babo/fra/wts/Hem/shot/Rel/gcm/mirr/Shc/chn/drl/Nak/Vang/fz2/gcm2/Rfx/Tor/RhoGEF2/WASp/stan/Optix/msps/Rich/Fmr1/seq/nerfin-1/SoxN/ssh/lva/raptor/Nf-YC/CG12717/hiw/HUWE1/rictor/erm/CG14043/beat-IIIc/CdGAPr/Sin1/ckn/unc-5/Toll-7/path/Toll-6/wnd/Dcr-1/Vav/SMC1/boi/Alk/exex/SCAR/Liprin-alpha/sav/Mical/Patj/nub/jeb/vvl/psidin/crb/wb/Dbx/Dhc64C/mid/Sec23/cnc/dar1/hts/sli/ab/Mtp/Ten-a/Frl/S6k/InR/Sac1/Sema5c/btl/cv-c"
"instar larval or pupal morphogenesis",0.0914826498422713,4.22330214837791e-10,116,"I","Dll/btd/eya/cv-2/dpp/Dr/emc/en/fj/fkh/ft/hth/inv/Jra/kto/Sos/mam/odd/opa/ovo/pnt/px/shn/skd/sog/Egfr/trc/tsh/ptc/vg/vn/hid/oc/zfh2/hh/otk/C15/bowl/ey/Itpr/hep/dap/jar/babo/shot/mirr/sty/Pi3K59F/Shc/mbc/SMC3/Vang/ast/Past1/fz2/pcm/crol/Tor/RhoGEF2/gbb/brk/stan/p38b/bab2/CG13366/drpr/sds22/raptor/slpr/mthl1/RhoGAP15B/Uvrag/Atg9/CNBP/Ppat-Dpck/RhoGAP68F/Mkp3/Atg17/RhoGAP92B/Usp8/Socs36E/frc/Atg2/wge/Drak/pan/Myo31DF/frtz/step/dgo/Chd1/Nost/Diap1/Vps15/tay/Rbsn-5/Ppcs/salm/Asx/l(2)gd1/d/fzr/S6kII/Rabex-5/bel/Lpin/Lpt/CG43658/Atg6/Bx/PDZ-GEF/ltl/Duox/wg/ds/cv-c"
"neuron projection morphogenesis",0.0914826498422713,4.22330214837791e-10,116,"I","eya/D/ems/en/E(spl)m8-HLH/E(z)/grn/Sos/robo2/sens/peb/Poxm/ras/Scm/shn/trc/ptc/hid/oc/Nrt/Ptp4E/Ten-m/pros/zfh1/sim/otk/ci/Sox14/robo1/comm/hep/trn/sqz/TrpRS/Sema1a/babo/fra/wts/Hem/shot/Rel/gcm/mirr/Shc/chn/drl/Nak/Vang/fz2/gcm2/Rfx/Tor/RhoGEF2/WASp/stan/Optix/msps/Rich/Fmr1/seq/nerfin-1/SoxN/ssh/lva/raptor/Nf-YC/CG12717/hiw/HUWE1/rictor/erm/CG14043/beat-IIIc/CdGAPr/Sin1/ckn/unc-5/Toll-7/path/Toll-6/wnd/Dcr-1/Vav/SMC1/boi/Alk/exex/SCAR/Liprin-alpha/sav/Mical/nub/jeb/vvl/psidin/Mob4/crb/wb/Dbx/Dhc64C/mid/Sec23/cnc/dar1/hts/sli/ab/Mtp/Ten-a/Frl/S6k/InR/Sac1/Sema5c/btl/cv-c"
"system process",0.0887204636647347,1.05045621896735e-13,199,"III","nAChRalpha1/nAChRbeta1/nAChRalpha2/Appl/boss/bsk/bw/salr/Col4a1/Ddc/eag/Fas2/Galphas/Hn/if/inaD/Ca-alpha1D/Mlc1/Mlc2/na/Atpalpha/Pkc98E/rut/Sh/ss/w/Tm2/nAChRbeta2/5-HT1A/up/ct/Rdl/Klp64D/mew/Mdr65/Oct-TyrR/Gad1/Syn/TkR99D/14-3-3zeta/Shal/Galphaf/Lcch3/Nmdar1/cora/sinu/Obp28a/RyR/Ms/Dop1R1/ine/Nos/Dhc93AB/Nrx-IV/cher/tim/nrv2/Drip/nompA/vri/Acer/H15/Dyrk2/klg/mGluR/ppk/geko/CRMP/Clk/CG3078/b6/Oamb/GluClalpha/Scgdelta/cry/Amnionless/Nsun2/Eaat1/Inx7/Amph/CG4928/kirre/nAChRalpha5/aru/NtR/CG5921/Uba5/Sclp/dpr18/Mec2/Ir25a/meng/Nha1/CG8086/nAChRalpha6/dpr19/AstC/nrv3/Dscam1/Obp44a/KCNQ/CAP/Sans/dpr13/Obp56a/Obp56d/Eglp2/Eglp4/ITP/dpr20/Chd64/DopEcR/CG10226/ppk26/Or71a/SecCl/CG14636/NPFR/Neurochondrin/Desi/dpr5/ATP8B/dpr15/dpr9/Nrx-1/CG6972/Root/sosie/Obp99a/Obp99c/Obp99d/Obp99b/Cad99C/CG15537/Sox102F/dpr1/robo3/prt/Obp83g/Obp83ef/Obp83cd/ClC-a/dpr17/Gba1b/wry/dpr10/Rbfox1/Krn/dpr8/Cubn/dpr11/dpr7/dpr4/Nmdar2/dpr3/Dop2R/Unc-89/pain/Ctr1A/dpr12/Nox/sif/DCX-EMAP/futsch/brp/drd/qvr/Mp/2mit/rempA/stj/pdm3/nemy/Npc1b/Ank2/f/Shab/Tmhs/Ptr/dysc/orb2/CG43778/Ca-alpha1T/CaMKII/Mhc/Rgk1/pHCl-1/tn/rad/CrebB/rdgC/rg/SclA/SclB/Ggamma30A/Tmc/wupA/Phm/para"
"positive regulation of RNA metabolic process",0.0883280757097792,9.4764295467872e-08,112,"I","abd-A/Abd-B/ac/Dll/btd/Cf2/eya/D/disco/Eip75B/en/fkh/grn/hth/Jra/kto/wor/dre4/lin/mam/Met/odd/opa/ovo/pnr/pnt/shn/sna/so/srp/trx/tsh/ttk/ush/vg/oc/sc/CrebA/pros/sim/ci/C15/bowl/ey/hep/Mef2/twin/Rel/gcm/mirr/Hr96/chn/org-1/Tor/Sin3A/Hel89B/cyc/CG3630/Sec13/CycT/scf/Sbf/SoxN/Upf1/rictor/Ncoa6/CG7239/CG4901/CG4751/RtcB/dmpd/vis/achi/CG10543/yki/Doc2/Pop2/DCP2/MED19/srl/MBD-R2/CG5641/MED25/lmd/REPTOR/HGTX/tai/CG18766/Atac3/CG34401/pan/vvl/grh/dl/Rrp40/Asx/vnd/mid/trh/CG9932/nsl1/Myc/cnc/Mitf/dar1/Tet/nclb/Lpin/Lpt/Bx/da/Adf1"
"eye development",0.0867507886435331,1.65654324644985e-11,110,"I","a/aop/eya/dpp/ec/emc/E(spl)m8-HLH/eyg/ft/hth/Jra/kto/Sos/sens/E(spl)mdelta-HLH/peb/pnt/rst/Scm/skd/sna/so/Egfr/trx/tsh/ttk/ptc/ush/vg/oc/Ten-m/ex/pros/hh/ci/ey/noc/dpn/pelo/babo/fra/msi/wts/Gp150/klu/phyl/bnl/mirr/sty/Shc/chn/Apc/rin/Vang/ast/Past1/sns/gbb/stan/Optix/siz/Rip11/cindr/Rich/seq/ssh/p47/sano/yki/rno/danr/Vav/Nhe2/boi/Alk/Socs36E/SCAR/frc/bchs/Liprin-alpha/Asap/Efa6/sav/jeb/Egm/dgo/bun/grh/Mob2/crb/Ziz/Diap1/didum/salm/l(2)gd1/d/kibra/fzr/S6kII/Mitf/spg/rdx/PIG-S/PDZ-GEF/Kr-h1/Sec6/Frl/wg/ds/btl"
"sensory system development",0.0867507886435331,1.65654324644985e-11,110,"I","a/aop/eya/dpp/ec/emc/E(spl)m8-HLH/eyg/ft/hth/Jra/kto/Sos/sens/E(spl)mdelta-HLH/peb/pnt/rst/Scm/skd/sna/so/Egfr/trx/tsh/ttk/ptc/ush/vg/oc/Ten-m/ex/pros/hh/ci/ey/noc/dpn/pelo/babo/fra/msi/wts/Gp150/klu/phyl/bnl/mirr/sty/Shc/chn/Apc/rin/Vang/ast/Past1/sns/gbb/stan/Optix/siz/Rip11/cindr/Rich/seq/ssh/p47/sano/yki/rno/danr/Vav/Nhe2/boi/Alk/Socs36E/SCAR/frc/bchs/Liprin-alpha/Asap/Efa6/sav/jeb/Egm/dgo/bun/grh/Mob2/crb/Ziz/Diap1/didum/salm/l(2)gd1/d/kibra/fzr/S6kII/Mitf/spg/rdx/PIG-S/PDZ-GEF/Kr-h1/Sec6/Frl/wg/ds/btl"
"visual system development",0.0867507886435331,1.65654324644985e-11,110,"I","a/aop/eya/dpp/ec/emc/E(spl)m8-HLH/eyg/ft/hth/Jra/kto/Sos/sens/E(spl)mdelta-HLH/peb/pnt/rst/Scm/skd/sna/so/Egfr/trx/tsh/ttk/ptc/ush/vg/oc/Ten-m/ex/pros/hh/ci/ey/noc/dpn/pelo/babo/fra/msi/wts/Gp150/klu/phyl/bnl/mirr/sty/Shc/chn/Apc/rin/Vang/ast/Past1/sns/gbb/stan/Optix/siz/Rip11/cindr/Rich/seq/ssh/p47/sano/yki/rno/danr/Vav/Nhe2/boi/Alk/Socs36E/SCAR/frc/bchs/Liprin-alpha/Asap/Efa6/sav/jeb/Egm/dgo/bun/grh/Mob2/crb/Ziz/Diap1/didum/salm/l(2)gd1/d/kibra/fzr/S6kII/Mitf/spg/rdx/PIG-S/PDZ-GEF/Kr-h1/Sec6/Frl/wg/ds/btl"
"compound eye development",0.0851735015772871,1.08404526449915e-11,108,"I","a/aop/eya/dpp/ec/emc/E(spl)m8-HLH/eyg/ft/hth/Jra/kto/Sos/sens/E(spl)mdelta-HLH/peb/pnt/rst/Scm/skd/sna/so/Egfr/tsh/ttk/ush/vg/oc/Ten-m/ex/pros/hh/ci/ey/noc/dpn/pelo/babo/fra/msi/wts/Gp150/klu/phyl/bnl/mirr/sty/Shc/chn/Apc/rin/Vang/ast/Past1/sns/gbb/stan/Optix/siz/Rip11/cindr/Rich/seq/ssh/p47/sano/yki/rno/danr/Vav/Nhe2/boi/Alk/Socs36E/SCAR/frc/bchs/Liprin-alpha/Asap/Efa6/sav/jeb/Egm/dgo/bun/grh/Mob2/crb/Ziz/Diap1/didum/salm/l(2)gd1/d/kibra/fzr/S6kII/Mitf/spg/rdx/PIG-S/PDZ-GEF/Kr-h1/Sec6/Frl/wg/ds/btl"
"positive regulation of DNA-templated transcription",0.082807570977918,2.58367828171603e-08,105,"I","abd-A/Abd-B/ac/Dll/btd/Cf2/eya/D/disco/Eip75B/en/fkh/grn/hth/Jra/kto/wor/dre4/lin/mam/Met/odd/opa/ovo/pnr/pnt/shn/sna/so/srp/trx/tsh/ttk/ush/vg/oc/sc/CrebA/pros/sim/ci/C15/bowl/ey/hep/Mef2/Rel/gcm/mirr/Hr96/chn/org-1/Tor/Sin3A/Hel89B/cyc/CG3630/Sec13/CycT/scf/Sbf/SoxN/rictor/Ncoa6/CG7239/CG4901/CG4751/dmpd/vis/achi/CG10543/yki/Doc2/MED19/srl/MBD-R2/CG5641/MED25/lmd/REPTOR/HGTX/tai/CG18766/Atac3/pan/vvl/grh/dl/Asx/vnd/mid/trh/CG9932/nsl1/Myc/cnc/Mitf/dar1/Tet/nclb/Lpin/Lpt/Bx/da/Adf1"
