"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dme00512","Mucin type O-glycan biosynthesis - Drosophila melanogaster (fruit fly)","10/538","24/3488",0.00177143980857825,0.0180364780509786,0.0125441670655302,"tgy/CG3119/CG2975/Pgant2/Pgant5/CG8708/Pgant8/Pgant9/Pgant4/CG34056",10
"dme00730","Thiamine metabolism - Drosophila melanogaster (fruit fly)","9/538","21/3488",0.0023830889062068,0.0204187900794945,0.0142010382131823,"Alp4/Nfs1/Alp12/Alp6/Alp7/Alp8/Alp9/Alp5/Alp1",9
"dme00830","Retinol metabolism - Drosophila melanogaster (fruit fly)","12/538","33/3488",0.0025316499266958,0.0204187900794945,0.0142010382131823,"Adh/Ugt35A1/Ugt37C1/Ugt37B1/CG15629/Ugt301D1/CG10672/Ugt317A1/Ugt303A1/Ugt35E2/Ugt37D1/Ugt37C2",12
"dme01040","Biosynthesis of unsaturated fatty acids - Drosophila melanogaster (fruit fly)","10/538","25/3488",0.00255234875993682,0.0204187900794945,0.0142010382131823,"ScpX/Mfe2/CG9527/Hacd1/CG17597/CG17544/CG18609/CG8630/CG9747/CG9743",10
"dme00350","Tyrosine metabolism - Drosophila melanogaster (fruit fly)","9/538","22/3488",0.00349148364985092,0.0260697445855536,0.0181312133395767,"Adh/amd/Ddc/ple/Faa/Hpd/yellow-f2/hgo/Tdc2",9
"dme00053","Ascorbate and aldarate metabolism - Drosophila melanogaster (fruit fly)","12/538","35/3488",0.00443599952475948,0.0310519966733164,0.0215963134758027,"Ugt35A1/Ugt37C1/Ugt37B1/Ugt301D1/CG6910/CG2767/Ugt317A1/Ugt303A1/Ugt35E2/Ugt37D1/Ugt37C2/sgl",12
"dme00230","Purine metabolism - Drosophila melanogaster (fruit fly)","24/538","92/3488",0.00513147820206762,0.0325873359419772,0.0226641246212999,"Pgm1/rut/ry/Ac76E/Gyc32E/Gycalpha99B/Gycbeta100B/Papss/CG6106/veil/CG16758/AdenoK/Adgf-A/Pde6/Gyc88E/Gyc89Db/ACXD/NT5E-2/CG32301/CG32305/CG34357/Pde9/Pde1c/Pde8",24
"dme00790","Folate biosynthesis - Drosophila melanogaster (fruit fly)","13/538","40/3488",0.00523725041924633,0.0325873359419772,0.0226641246212999,"Hn/Pu/ple/Alp4/CG12116/Alp12/Alp6/Alp7/Alp8/Alp9/GstO3/Alp5/Alp1",13
"dme00860","Porphyrin metabolism - Drosophila melanogaster (fruit fly)","14/538","45/3488",0.00592187117423358,0.0349078721849559,0.0242780314068302,"l(3)02640/Alas/Ugt35A1/Ugt37C1/Ugt37B1/Ugt301D1/CG3803/Pbgs/Ugt317A1/Ugt303A1/Ugt35E2/Ugt37D1/Ugt37C2/FeCH",14
"dme00983","Drug metabolism - other enzymes - Drosophila melanogaster (fruit fly)","24/538","94/3488",0.0068570620551943,0.0383995475090881,0.0267064522149673,"ry/CRMP/Ugt35A1/Ugt37C1/Ugt37B1/CG17224/CG8360/CG8353/Ugt301D1/GstE1/GstE11/pyd3/CG6330/Ugt317A1/Ugt303A1/Ugt35E2/Ugt37D1/Ugt37C2/GstD10/GstE6/GstE5/GstE2/GstE10/Nlg4",24
"dme00561","Glycerolipid metabolism - Drosophila melanogaster (fruit fly)","13/538","42/3488",0.00827151352299275,0.0441147387892947,0.0306813032933064,"wun/Agpat1/CG1941/Agpat4/laza/CG11438/CG11437/CG11426/CG2767/CG31140/Dgk/CG34384/Mulk",13
"dme00410","beta-Alanine metabolism - Drosophila melanogaster (fruit fly)","9/538","25/3488",0.00932210234050568,0.0474579755516653,0.0330064867558575,"b/Gad1/CRMP/CG17896/CG9527/CG17544/CG5618/pyd3/CG5044",9
"dme01250","Biosynthesis of nucleotide sugars - Drosophila melanogaster (fruit fly)","10/538","30/3488",0.0113728596317201,0.0553808816848977,0.0385167786154364,"Pgm1/Gale/CG6910/Pmm2/CG6218/Gfat2/Gnpnat/mmy/sgl/Galk",10
"dme00564","Glycerophospholipid metabolism - Drosophila melanogaster (fruit fly)","17/538","63/3488",0.0122178576466095,0.0554130157700649,0.0385391275092557,"Ace/ChAT/wun/Gpo1/CG4757/Agpat1/CG7149/Agpat4/laza/CG11438/CG11437/CG11426/CLS/CG18815/CG31140/Dgk/CG34384",17
"dme00980","Metabolism of xenobiotics by cytochrome P450 - Drosophila melanogaster (fruit fly)","18/538","68/3488",0.0123689767343895,0.0554130157700649,0.0385391275092557,"Adh/Ugt35A1/Ugt37C1/Ugt37B1/CG3609/Ugt301D1/GstE1/GstE11/Ugt317A1/Ugt303A1/Ugt35E2/Ugt37D1/Ugt37C2/GstD10/GstE6/GstE5/GstE2/GstE10",18
"dme00511","Other glycan degradation - Drosophila melanogaster (fruit fly)","8/538","22/3488",0.0131434806802851,0.055985500815835,0.0389372844019905,"Gal/CG5613/LManIII/LManV/LManVI/Hexo2/Gba1b/Ect3",8
"dme00760","Nicotinate and nicotinamide metabolism - Drosophila melanogaster (fruit fly)","7/538","18/3488",0.0134965046609602,0.055985500815835,0.0389372844019905,"Sirt4/Naprt/CG8080/veil/CG16758/Sirt2/NT5E-2",7
"dme00040","Pentose and glucuronate interconversions - Drosophila melanogaster (fruit fly)","14/538","50/3488",0.0159070384464155,0.0636281537856621,0.044252663347171,"Ugt35A1/Ugt37C1/Ugt37B1/CG3609/Ugt301D1/Had2/CG2767/CG3534/Ugt317A1/Ugt303A1/Ugt35E2/Ugt37D1/Ugt37C2/sgl",14
"dme00982","Drug metabolism - cytochrome P450 - Drosophila melanogaster (fruit fly)","17/538","66/3488",0.0194179313335668,0.0749933899779131,0.052157056939526,"Adh/Ugt35A1/Ugt37C1/Ugt37B1/Ugt301D1/GstE1/GstE11/Ugt317A1/Ugt303A1/Ugt35E2/Ugt37D1/Ugt37C2/GstD10/GstE6/GstE5/GstE2/GstE10",17
"dme04145","Phagosome - Drosophila melanogaster (fruit fly)","20/538","82/3488",0.0213402904960785,0.0796704178520266,0.0554098770775373,"alphaTub85E/betaTub97EF/Calr/Sec61beta/Nos/Rac2/RhoL/Rab7/Sec61gamma/Tsp/Vha100-5/VhaM9.7-a/CG11459/Vha100-4/Vha36-3/Sdic2/Sec61alpha/Vha68-2/Vha68-1/Vha13",20
"dme02010","ABC transporters - Drosophila melanogaster (fruit fly)","11/538","38/3488",0.0243233213429584,0.0878778061423011,0.0611180230688937,"Mdr65/CG3156/CG1824/CG1494/CG4822/CG5853/CG10226/CG4562/CG11069/Mrp4/CG17646",11
"dme00250","Alanine, aspartate and glutamate metabolism - Drosophila melanogaster (fruit fly)","9/538","29/3488",0.0258529989695299,0.0904854963933546,0.0629316422284609,"Gs1/Gad1/Ass/CG7860/Argl/CG9674/P5CDh1/Ssadh/Gfat2",9
