Module	Section	Sample Name	Source
Rsem	all_sections	O1W4_KO_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/02_RSEM/O1W4_KO_1.stat/O1W4_KO_1.cnt
Rsem	all_sections	O2W4_KO_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/02_RSEM/O2W4_KO_1.stat/O2W4_KO_1.cnt
Rsem	all_sections	O1_KO_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/02_RSEM/O1_KO_2.stat/O1_KO_2.cnt
Rsem	all_sections	O1W4_OE_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/02_RSEM/O1W4_OE_2.stat/O1W4_OE_2.cnt
Rsem	all_sections	W4_KO_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/02_RSEM/W4_KO_2.stat/W4_KO_2.cnt
Rsem	all_sections	O2_KO_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/02_RSEM/O2_KO_1.stat/O2_KO_1.cnt
STAR	SummaryLog	Ctrl_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/01_STAR/Ctrl_1Log.final.out
STAR	SummaryLog	Ctrl_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/01_STAR/Ctrl_2Log.final.out
STAR	SummaryLog	O1O2_KO_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/01_STAR/O1O2_KO_1Log.final.out
STAR	SummaryLog	O1O2_KO_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/01_STAR/O1O2_KO_2Log.final.out
STAR	SummaryLog	O1W4_KO_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/01_STAR/O1W4_KO_1Log.final.out
STAR	SummaryLog	O1W4_KO_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/01_STAR/O1W4_KO_2Log.final.out
STAR	SummaryLog	O1W4_OE_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/01_STAR/O1W4_OE_1Log.final.out
STAR	SummaryLog	O1W4_OE_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/01_STAR/O1W4_OE_2Log.final.out
STAR	SummaryLog	O1_KO_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/01_STAR/O1_KO_1Log.final.out
STAR	SummaryLog	O1_KO_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/01_STAR/O1_KO_2Log.final.out
STAR	SummaryLog	O1_OE_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/01_STAR/O1_OE_1Log.final.out
STAR	SummaryLog	O1_OE_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/01_STAR/O1_OE_2Log.final.out
STAR	SummaryLog	O2W4_KO_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/01_STAR/O2W4_KO_1Log.final.out
STAR	SummaryLog	O2W4_KO_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/01_STAR/O2W4_KO_2Log.final.out
STAR	SummaryLog	O2_KO_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/01_STAR/O2_KO_1Log.final.out
STAR	SummaryLog	O2_KO_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/01_STAR/O2_KO_2Log.final.out
STAR	SummaryLog	W4_KO_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/01_STAR/W4_KO_1Log.final.out
STAR	SummaryLog	W4_KO_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/01_STAR/W4_KO_2Log.final.out
STAR	SummaryLog	W4_OE_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/01_STAR/W4_OE_1Log.final.out
STAR	SummaryLog	W4_OE_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/01_STAR/W4_OE_2Log.final.out
FastQC	all_sections	Ctrl_1_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/Ctrl_1_1_fastqc.zip
FastQC	all_sections	Ctrl_1_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/Ctrl_1_2_fastqc.zip
FastQC	all_sections	Ctrl_2_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/Ctrl_2_1_fastqc.zip
FastQC	all_sections	Ctrl_2_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/Ctrl_2_2_fastqc.zip
FastQC	all_sections	O1O2_KO_1_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/O1O2_KO_1_1_fastqc.zip
FastQC	all_sections	O1O2_KO_1_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/O1O2_KO_1_2_fastqc.zip
FastQC	all_sections	O1O2_KO_2_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/O1O2_KO_2_1_fastqc.zip
FastQC	all_sections	O1O2_KO_2_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/O1O2_KO_2_2_fastqc.zip
FastQC	all_sections	O1W4_KO_1_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/O1W4_KO_1_1_fastqc.zip
FastQC	all_sections	O1W4_KO_1_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/O1W4_KO_1_2_fastqc.zip
FastQC	all_sections	O1W4_KO_2_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/O1W4_KO_2_1_fastqc.zip
FastQC	all_sections	O1W4_KO_2_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/O1W4_KO_2_2_fastqc.zip
FastQC	all_sections	O1W4_OE_1_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/O1W4_OE_1_1_fastqc.zip
FastQC	all_sections	O1W4_OE_1_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/O1W4_OE_1_2_fastqc.zip
FastQC	all_sections	O1W4_OE_2_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/O1W4_OE_2_1_fastqc.zip
FastQC	all_sections	O1W4_OE_2_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/O1W4_OE_2_2_fastqc.zip
FastQC	all_sections	O1_KO_1_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/O1_KO_1_1_fastqc.zip
FastQC	all_sections	O1_KO_1_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/O1_KO_1_2_fastqc.zip
FastQC	all_sections	O1_KO_2_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/O1_KO_2_1_fastqc.zip
FastQC	all_sections	O1_KO_2_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/O1_KO_2_2_fastqc.zip
FastQC	all_sections	O1_OE_1_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/O1_OE_1_1_fastqc.zip
FastQC	all_sections	O1_OE_1_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/O1_OE_1_2_fastqc.zip
FastQC	all_sections	O1_OE_2_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/O1_OE_2_1_fastqc.zip
FastQC	all_sections	O1_OE_2_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/O1_OE_2_2_fastqc.zip
FastQC	all_sections	O2W4_KO_1_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/O2W4_KO_1_1_fastqc.zip
FastQC	all_sections	O2W4_KO_1_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/O2W4_KO_1_2_fastqc.zip
FastQC	all_sections	O2W4_KO_2_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/O2W4_KO_2_1_fastqc.zip
FastQC	all_sections	O2W4_KO_2_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/O2W4_KO_2_2_fastqc.zip
FastQC	all_sections	O2_KO_1_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/O2_KO_1_1_fastqc.zip
FastQC	all_sections	O2_KO_1_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/O2_KO_1_2_fastqc.zip
FastQC	all_sections	O2_KO_2_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/O2_KO_2_1_fastqc.zip
FastQC	all_sections	O2_KO_2_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/O2_KO_2_2_fastqc.zip
FastQC	all_sections	W4_KO_1_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/W4_KO_1_1_fastqc.zip
FastQC	all_sections	W4_KO_1_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/W4_KO_1_2_fastqc.zip
FastQC	all_sections	W4_KO_2_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/W4_KO_2_1_fastqc.zip
FastQC	all_sections	W4_KO_2_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/W4_KO_2_2_fastqc.zip
FastQC	all_sections	W4_OE_1_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/W4_OE_1_1_fastqc.zip
FastQC	all_sections	W4_OE_1_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/W4_OE_1_2_fastqc.zip
FastQC	all_sections	W4_OE_2_1	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/W4_OE_2_1_fastqc.zip
FastQC	all_sections	W4_OE_2_2	/Users/qh_tan/qianhui/work/otkwnt_embryo/data/02_aligned/00_fastqc/W4_OE_2_2_fastqc.zip
